Wavelength,Intensity
5308.0,0.2524974
5312.0,0.2382755
5316.0,0.2003664
5320.0,0.1973311
5324.0,0.1114199
5328.0,0.1415929
5332.0,0.1297764
5336.0,0.1219173
5340.0,0.1553828
5344.0,0.2523226
5348.0,0.2896068
5352.0,0.2163327
5356.0,0.2700892
5360.0,0.2542358
5364.0,0.1889131
5368.0,0.1465926
5372.0,0.158887
5376.0,0.2754529
5380.0,0.3607717
5384.0,0.2860187
5388.0,0.1400473
5392.0,0.2451003
5396.0,0.207042
5400.0,0.2506426
5404.0,0.1715389
5408.0,0.1100003
5412.0,0.2117849
5416.0,0.3424179
5420.0,0.3239355
5424.0,0.2215255
5428.0,0.2105802
5432.0,0.1065059
5436.0,0.1344804
5440.0,0.1800243
5444.0,0.2255311
5448.0,0.3347231
5452.0,0.349251
5456.0,0.2899425
5460.0,0.2536118
5464.0,0.2782411
5468.0,0.234582
5472.0,0.2117356
5476.0,0.2455472
5480.0,0.2619241
5484.0,0.1937709
5488.0,0.1360631
5492.0,0.07373702
5496.0,0.1220718
5500.0,0.1853599
5504.0,0.1664056
5508.0,0.1201568
5512.0,0.1460462
5516.0,0.216158
5520.0,0.1482586
5524.0,0.08546513
5528.0,0.1389586
5532.0,0.2126286
5536.0,0.2157323
5540.0,0.1826444
5544.0,0.2582531
5548.0,0.3638908
5552.0,0.378443
5556.0,0.2139756
5560.0,0.1903938
5564.0,0.2583739
5568.0,0.123967
5572.0,0.2047231
5576.0,0.1704918
5580.0,0.1750549
5584.0,0.1268075
5588.0,0.0709777
5592.0,0.1711129
5596.0,0.2096807
5600.0,0.1340457
5604.0,0.1812002
5608.0,0.190813
5612.0,0.1670639
5616.0,0.2629361
5620.0,0.2583958
5624.0,0.2242426
5628.0,0.2240384
5632.0,0.3208057
5636.0,0.2879041
5640.0,0.1445227
5644.0,0.1570856
5648.0,0.1443496
5652.0,0.1928864
5656.0,0.1447525
5660.0,0.1507383
5664.0,0.2006521
5668.0,0.2165267
5672.0,0.2400813
5676.0,0.2185487
5680.0,0.2690338
5684.0,0.2668032
5688.0,0.1776559
5692.0,0.2034008
5696.0,0.1888764
5700.0,0.136853
5704.0,0.1428096
5708.0,0.1444574
5712.0,0.1478751
5716.0,0.1136798
5720.0,0.185974
5724.0,0.3254752
5728.0,0.2800907
5732.0,0.1021009
5736.0,0.1749007
5740.0,0.1178795
5744.0,0.244267
5748.0,0.2927769
5752.0,0.2024818
5756.0,0.2151827
5760.0,0.174101
5764.0,0.2522124
5768.0,0.261002
5772.0,0.2023221
5776.0,0.1367482
